source	target	polarity
pubchem.compound:3105	ncbigene:154	1
pubchem.compound:4507	ncbigene:779	-1
pubchem.compound:667550	ncbigene:5743	-1
pubchem.compound:3488	ncbigene:1080	-1
pubchem.compound:4236	ncbigene:147	1
pubchem.compound:6230	ncbigene:2908	1
pubchem.compound:4649	ncbigene:1147	-1
pubchem.compound:216239	ncbigene:673	-1
pubchem.compound:6918837	ncbigene:10013	-1
pubchem.compound:54687	ncbigene:3066	-1
pubchem.compound:4632	ncbigene:367	-1
pubchem.compound:3964	ncbigene:1813	-1
pubchem.compound:71360	ncbigene:3269	-1
pubchem.compound:2170	ncbigene:3357	-1
pubchem.compound:16231	ncbigene:40	-1
pubchem.compound:3826	ncbigene:5743	-1
pubchem.compound:5281078	ncbigene:5805	-1
pubchem.compound:33741	ncbigene:4988	1
pubchem.compound:4909	ncbigene:2555	1
pubchem.compound:40839	ncbigene:81027	-1
pubchem.compound:445154	ncbigene:5743	-1
pubchem.compound:3121	ncbigene:3066	-1
pubchem.compound:3314	ncbigene:367	-1
pubchem.compound:4943	ncbigene:2555	1
pubchem.compound:4011	ncbigene:146	-1
pubchem.compound:13791	ncbigene:2100	1
pubchem.compound:5206	ncbigene:2554	1
pubchem.compound:146570	ncbigene:6531	-1
pubchem.compound:3463	ncbigene:5465	1
pubchem.compound:53232	ncbigene:3156	-1
pubchem.compound:3878	ncbigene:1131	-1
pubchem.compound:54746	ncbigene:3363	-1
pubchem.compound:4409	ncbigene:5742	-1
pubchem.compound:5311217	ncbigene:785	-1
pubchem.compound:60854	ncbigene:1133	-1
pubchem.compound:3715	ncbigene:5743	-1
pubchem.compound:2170	ncbigene:1814	-1
pubchem.compound:5328940	ncbigene:6714	-1
pubchem.compound:3372	ncbigene:801	-1
pubchem.compound:4761	ncbigene:59340	-1
pubchem.compound:5920	ncbigene:7067	1
pubchem.compound:5073	ncbigene:3269	-1
pubchem.compound:3121	ncbigene:9734	-1
pubchem.compound:4055	ncbigene:5624	1
pubchem.compound:9931954	ncbigene:10038	-1
pubchem.compound:33741	ncbigene:152	1
pubchem.compound:16722836	ncbigene:3716	-1
pubchem.compound:4497	ncbigene:785	-1
pubchem.compound:6741	ncbigene:301	1
pubchem.compound:5284513	ncbigene:5914	1
pubchem.compound:4011	ncbigene:151	-1
pubchem.compound:644241	ncbigene:25	-1
pubchem.compound:449171	ncbigene:6258	1
